frame,timestamp,curvilinear_abscissa
4,1740547379.285916,0.10
5,1740547379.653344,0.20
6,1740547379.819474,0.30
7,1740547380.003138,0.41
8,1740547380.152941,0.51
9,1740547380.252604,0.61
10,1740547380.353549,0.71
11,1740547380.454416,0.81
12,1740547380.555895,0.91
13,1740547380.664940,1.01
14,1740547380.768106,1.11
15,1740547380.875040,1.22
16,1740547380.978255,1.32
17,1740547381.087908,1.42
18,1740547381.192124,1.52
19,1740547381.298306,1.62
20,1740547381.403500,1.72
21,1740547381.505542,1.82
22,1740547381.616841,1.93
23,1740547381.722513,2.03
24,1740547381.835389,2.13
25,1740547381.936831,2.23
26,1740547382.036687,2.33
27,1740547382.145240,2.43
28,1740547382.243159,2.53
29,1740547382.347928,2.63
30,1740547382.455132,2.74
31,1740547382.556770,2.84
32,1740547382.660564,2.94
33,1740547382.762062,3.04
34,1740547382.870506,3.14
35,1740547382.973362,3.24
36,1740547383.086046,3.34
37,1740547383.188151,3.45
38,1740547383.288363,3.55
39,1740547383.399404,3.65
40,1740547383.502760,3.75
41,1740547383.613877,3.85
42,1740547383.716930,3.95
43,1740547383.815710,4.05
44,1740547383.921259,4.15
45,1740547384.019009,4.26
46,1740547384.120698,4.36
47,1740547384.220362,4.46
48,1740547384.321524,4.56
49,1740547384.422472,4.66
50,1740547384.526324,4.76
51,1740547384.632420,4.86
52,1740547384.732547,4.97
53,1740547384.840899,5.07
54,1740547384.939894,5.17
55,1740547385.036326,5.27
56,1740547385.137754,5.37
57,1740547385.237897,5.47
58,1740547385.342963,5.57
59,1740547385.441604,5.67
60,1740547385.538706,5.78
61,1740547385.640438,5.88
62,1740547385.738038,5.98
63,1740547385.845775,6.08
64,1740547385.942472,6.18
65,1740547386.040737,6.28
66,1740547386.144540,6.38
67,1740547386.242378,6.49
68,1740547386.347404,6.59
69,1740547386.446685,6.69
70,1740547386.546729,6.79
71,1740547386.656613,6.89
72,1740547386.754446,6.99
73,1740547386.858149,7.09
74,1740547386.960338,7.19
75,1740547387.060607,7.30
76,1740547387.164732,7.40
77,1740547387.264117,7.50
78,1740547387.371790,7.60
79,1740547387.470985,7.70
80,1740547387.570285,7.80
81,1740547387.676393,7.90
82,1740547387.777900,8.01
83,1740547387.888898,8.11
84,1740547387.993210,8.21
85,1740547388.107845,8.31
86,1740547388.208822,8.41
87,1740547388.310517,8.51
88,1740547388.420701,8.61
89,1740547388.522552,8.72
90,1740547388.641423,8.82
91,1740547388.741643,8.92
92,1740547388.858275,9.02
93,1740547388.958688,9.12
94,1740547389.060776,9.22
95,1740547389.173989,9.32
96,1740547389.275050,9.42
97,1740547389.391308,9.53
98,1740547389.492245,9.63
99,1740547389.609754,9.73
100,1740547389.710595,9.83
101,1740547389.812811,9.93
102,1740547389.922342,10.03
103,1740547390.025837,10.13
104,1740547390.139947,10.23
105,1740547390.243846,10.34
106,1740547390.363661,10.44
107,1740547390.464499,10.54
108,1740547390.568513,10.64
109,1740547390.682861,10.74
110,1740547390.790294,10.84
111,1740547390.898393,10.94
112,1740547391.004346,11.05
113,1740547391.112812,11.15
