frame,timestamp,curvilinear_abscissa
6,1740549252.420742,0.10
7,1740549252.613753,0.18
8,1740549252.922419,0.27
9,1740549253.020023,0.35
10,1740549253.120086,0.44
11,1740549253.220216,0.52
12,1740549253.320695,0.61
13,1740549253.431436,0.70
14,1740549253.532003,0.78
15,1740549253.636661,0.87
16,1740549253.740821,0.95
17,1740549253.843916,1.04
18,1740549253.950787,1.12
19,1740549254.052410,1.21
20,1740549254.159796,1.30
21,1740549254.262352,1.38
22,1740549254.366628,1.47
23,1740549254.471161,1.55
24,1740549254.572171,1.64
25,1740549254.683313,1.72
26,1740549254.782501,1.81
27,1740549254.886612,1.89
28,1740549254.990601,1.98
29,1740549255.092336,2.07
30,1740549255.199003,2.15
31,1740549255.296322,2.24
32,1740549255.401707,2.32
33,1740549255.504724,2.41
34,1740549255.605573,2.49
35,1740549255.713456,2.58
36,1740549255.815284,2.67
37,1740549255.919827,2.75
38,1740549256.020330,2.84
39,1740549256.140372,2.92
40,1740549256.236435,3.01
41,1740549256.339591,3.09
42,1740549256.447695,3.18
43,1740549256.550398,3.27
44,1740549256.654649,3.35
45,1740549256.757866,3.44
46,1740549256.859689,3.52
47,1740549256.966667,3.61
48,1740549257.065407,3.69
49,1740549257.168880,3.78
50,1740549257.268668,3.87
51,1740549257.370730,3.95
52,1740549257.480219,4.04
53,1740549257.582162,4.12
54,1740549257.685038,4.21
55,1740549257.783694,4.29
56,1740549257.889928,4.38
57,1740549257.992167,4.47
58,1740549258.094152,4.55
59,1740549258.200518,4.64
60,1740549258.305479,4.72
61,1740549258.416138,4.81
62,1740549258.514967,4.89
63,1740549258.614841,4.98
64,1740549258.721780,5.06
65,1740549258.822597,5.15
66,1740549258.928825,5.24
67,1740549259.030836,5.32
68,1740549259.139658,5.41
69,1740549259.241114,5.49
70,1740549259.342667,5.58
71,1740549259.451360,5.66
72,1740549259.550974,5.75
73,1740549259.654386,5.84
74,1740549259.756733,5.92
75,1740549259.856520,6.01
76,1740549259.962150,6.09
77,1740549260.062293,6.18
78,1740549260.171618,6.26
79,1740549260.272505,6.35
80,1740549260.389921,6.44
81,1740549260.487093,6.52
82,1740549260.587602,6.61
83,1740549260.706006,6.69
84,1740549260.805623,6.78
85,1740549260.917422,6.86
86,1740549261.015924,6.95
87,1740549261.116294,7.03
88,1740549261.219885,7.12
89,1740549261.319892,7.21
90,1740549261.429717,7.29
91,1740549261.533048,7.38
92,1740549261.645689,7.46
93,1740549261.747812,7.55
94,1740549261.848900,7.63
95,1740549261.965413,7.72
96,1740549262.066660,7.81
97,1740549262.171746,7.89
98,1740549262.275663,7.98
99,1740549262.382158,8.06
100,1740549262.494270,8.15
101,1740549262.599908,8.23
102,1740549262.714335,8.32
103,1740549262.814844,8.41
104,1740549262.920540,8.49
105,1740549263.023516,8.58
106,1740549263.125875,8.66
107,1740549263.232499,8.75
108,1740549263.333801,8.83
109,1740549263.441619,8.92
110,1740549263.548112,9.01
111,1740549263.657763,9.09
112,1740549263.763808,9.18
113,1740549263.866034,9.26
114,1740549263.973341,9.35
115,1740549264.077061,9.43
116,1740549264.190473,9.52
117,1740549264.294444,9.60
118,1740549264.409204,9.69
119,1740549264.516005,9.78
120,1740549264.618894,9.86
121,1740549264.725986,9.95
122,1740549264.831762,10.03
123,1740549264.940747,10.12
124,1740549265.051320,10.20
125,1740549265.158879,10.29
126,1740549265.265511,10.38
127,1740549265.370936,10.46
128,1740549265.480093,10.55
129,1740549265.593893,10.63
130,1740549265.707261,10.72
131,1740549265.813787,10.80
132,1740549265.922127,10.89
133,1740549266.030717,10.98
134,1740549266.133186,11.06
135,1740549266.242816,11.15
136,1740549266.352225,11.23
137,1740549266.472781,11.32
138,1740549266.578233,11.40
139,1740549266.691859,11.49
140,1740549266.797979,11.58
141,1740549266.910069,11.66
142,1740549267.018265,11.75
143,1740549267.121936,11.83
144,1740549267.231730,11.92
145,1740549267.334967,12.00
146,1740549267.445061,12.09
147,1740549267.552365,12.17
148,1740549267.661482,12.26
149,1740549267.768708,12.35
150,1740549267.872925,12.43
151,1740549267.985890,12.52
152,1740549268.087673,12.60
153,1740549268.199156,12.69
154,1740549268.301659,12.77
155,1740549268.411860,12.86
156,1740549268.522716,12.95
157,1740549268.629236,13.03
158,1740549268.739521,13.12
159,1740549268.845612,13.20
160,1740549268.956918,13.29
161,1740549269.062860,13.37
162,1740549269.173459,13.46
163,1740549269.284215,13.55
164,1740549269.387496,13.63
165,1740549269.503579,13.72
166,1740549269.605782,13.80
167,1740549269.725690,13.89
168,1740549269.831989,13.97
169,1740549269.945956,14.06
170,1740549270.053911,14.14
171,1740549270.163451,14.23
172,1740549270.268697,14.32
173,1740549270.371222,14.40
174,1740549270.481408,14.49
175,1740549270.589054,14.57
176,1740549270.701936,14.66
177,1740549270.805598,14.75
178,1740549270.919710,14.83
179,1740549271.023974,14.92
180,1740549271.131796,15.00
181,1740549271.241824,15.09
182,1740549271.348965,15.17
183,1740549271.457867,15.26
184,1740549271.569028,15.35
185,1740549271.677947,15.43
186,1740549271.786739,15.52
187,1740549271.892102,15.60
188,1740549272.008473,15.69
189,1740549272.119118,15.77
190,1740549272.229434,15.86
191,1740549272.337147,15.95
192,1740549272.447928,16.03
193,1740549272.557405,16.12
194,1740549272.671578,16.20
195,1740549272.774707,16.29
196,1740549272.881592,16.37
197,1740549272.990589,16.46
198,1740549273.096813,16.55
199,1740549273.207905,16.63
200,1740549273.313915,16.72
201,1740549273.425450,16.80
202,1740549273.536518,16.89
203,1740549273.638796,16.97
204,1740549273.752428,17.06
205,1740549273.855634,17.14
206,1740549273.976316,17.23
207,1740549274.082362,17.32
208,1740549274.199285,17.40
209,1740549274.304178,17.49
210,1740549274.420356,17.57
211,1740549274.522755,17.66
212,1740549274.631601,17.74
213,1740549274.739918,17.83
214,1740549274.845216,17.92
215,1740549274.957202,18.00
216,1740549275.062030,18.09
217,1740549275.172277,18.17
218,1740549275.276822,18.26
219,1740549275.381979,18.34
220,1740549275.490162,18.43
221,1740549275.594086,18.52
222,1740549275.703932,18.60
223,1740549275.807989,18.69
224,1740549275.922418,18.77
225,1740549276.024236,18.86
226,1740549276.129777,18.94
227,1740549276.237948,19.03
