frame,timestamp,curvilinear_abscissa
5,1740546915.027792,0.11
6,1740546915.405040,0.21
7,1740546915.564604,0.31
8,1740546915.735749,0.42
9,1740546915.832306,0.52
10,1740546915.927719,0.62
11,1740546916.025765,0.72
12,1740546916.123290,0.83
13,1740546916.227738,0.93
14,1740546916.324586,1.03
15,1740546916.426285,1.14
16,1740546916.526367,1.24
17,1740546916.626344,1.34
18,1740546916.725621,1.44
19,1740546916.821963,1.55
20,1740546916.919137,1.65
21,1740546917.024351,1.75
22,1740546917.120717,1.85
23,1740546917.226554,1.96
24,1740546917.321173,2.06
25,1740546917.419796,2.16
26,1740546917.525205,2.26
27,1740546917.624828,2.37
28,1740546917.726161,2.47
29,1740546917.826739,2.57
30,1740546917.926490,2.68
31,1740546918.029023,2.78
32,1740546918.127556,2.88
33,1740546918.232581,2.98
34,1740546918.330564,3.09
35,1740546918.444496,3.19
36,1740546918.544932,3.29
37,1740546918.642560,3.39
38,1740546918.748975,3.50
39,1740546918.846568,3.60
40,1740546918.949790,3.70
41,1740546919.049781,3.81
42,1740546919.148362,3.91
43,1740546919.251674,4.01
44,1740546919.352940,4.11
45,1740546919.461604,4.22
46,1740546919.561713,4.32
47,1740546919.661245,4.42
48,1740546919.764499,4.52
49,1740546919.863258,4.63
50,1740546919.971894,4.73
51,1740546920.078260,4.83
52,1740546920.191171,4.93
53,1740546920.294817,5.04
54,1740546920.395465,5.14
55,1740546920.502920,5.24
56,1740546920.604250,5.35
57,1740546920.711501,5.45
58,1740546920.812325,5.55
59,1740546920.912215,5.65
60,1740546921.014615,5.76
61,1740546921.112489,5.86
62,1740546921.224210,5.96
63,1740546921.323938,6.06
64,1740546921.427599,6.17
65,1740546921.531655,6.27
66,1740546921.630867,6.37
67,1740546921.738114,6.47
68,1740546921.837864,6.58
69,1740546921.943544,6.68
70,1740546922.044838,6.78
71,1740546922.148696,6.89
72,1740546922.255311,6.99
73,1740546922.357415,7.09
74,1740546922.464430,7.19
75,1740546922.565387,7.30
76,1740546922.664751,7.40
77,1740546922.767606,7.50
78,1740546922.866695,7.60
79,1740546922.978684,7.71
80,1740546923.079039,7.81
81,1740546923.180653,7.91
82,1740546923.290577,8.02
83,1740546923.390851,8.12
84,1740546923.501383,8.22
85,1740546923.604398,8.32
86,1740546923.712071,8.43
87,1740546923.815603,8.53
88,1740546923.918390,8.63
89,1740546924.028804,8.73
90,1740546924.129142,8.84
91,1740546924.235834,8.94
92,1740546924.338522,9.04
93,1740546924.450259,9.15
94,1740546924.552937,9.25
95,1740546924.655383,9.35
96,1740546924.763518,9.45
97,1740546924.863393,9.56
98,1740546924.970096,9.66
99,1740546925.074808,9.76
100,1740546925.175559,9.86
101,1740546925.284380,9.97
102,1740546925.386081,10.07
103,1740546925.493922,10.17
104,1740546925.593907,10.27
105,1740546925.702548,10.38
106,1740546925.806005,10.48
107,1740546925.911906,10.58
108,1740546926.023218,10.69
109,1740546926.132260,10.79
