frame,timestamp,curvilinear_abscissa
5,1740547078.867581,0.09
6,1740547079.220779,0.17
7,1740547079.397641,0.26
8,1740547079.576678,0.34
9,1740547079.678143,0.43
10,1740547079.773096,0.51
11,1740547079.867484,0.60
12,1740547079.963076,0.69
13,1740547080.067243,0.77
14,1740547080.166527,0.86
15,1740547080.262791,0.94
16,1740547080.367325,1.03
17,1740547080.465727,1.12
18,1740547080.568766,1.20
19,1740547080.667293,1.29
20,1740547080.765559,1.37
21,1740547080.866269,1.46
22,1740547080.966930,1.54
23,1740547081.070832,1.63
24,1740547081.169781,1.72
25,1740547081.267247,1.80
26,1740547081.367635,1.89
27,1740547081.464507,1.97
28,1740547081.578262,2.06
29,1740547081.673051,2.14
30,1740547081.771189,2.23
31,1740547081.878608,2.32
32,1740547081.976437,2.40
33,1740547082.082809,2.49
34,1740547082.185391,2.57
35,1740547082.282081,2.66
36,1740547082.385867,2.74
37,1740547082.483427,2.83
38,1740547082.588627,2.92
39,1740547082.688519,3.00
40,1740547082.786718,3.09
41,1740547082.891361,3.17
42,1740547082.990153,3.26
43,1740547083.094476,3.35
44,1740547083.195887,3.43
45,1740547083.293545,3.52
46,1740547083.400112,3.60
47,1740547083.497562,3.69
48,1740547083.600585,3.77
49,1740547083.699883,3.86
50,1740547083.799139,3.95
51,1740547083.900415,4.03
52,1740547083.999104,4.12
53,1740547084.107393,4.21
54,1740547084.202682,4.29
55,1740547084.299621,4.38
56,1740547084.407930,4.46
57,1740547084.509897,4.55
58,1740547084.620073,4.63
59,1740547084.716517,4.72
60,1740547084.815630,4.81
61,1740547084.918427,4.89
62,1740547085.015764,4.98
63,1740547085.116682,5.06
64,1740547085.216279,5.15
65,1740547085.315369,5.23
66,1740547085.419395,5.32
67,1740547085.517340,5.41
68,1740547085.620933,5.49
69,1740547085.726092,5.58
70,1740547085.827016,5.66
71,1740547085.932173,5.75
72,1740547086.033595,5.83
73,1740547086.138141,5.92
74,1740547086.236838,6.01
75,1740547086.334854,6.09
76,1740547086.447841,6.18
77,1740547086.553195,6.26
78,1740547086.668494,6.35
79,1740547086.769775,6.44
80,1740547086.870088,6.52
81,1740547086.968773,6.61
82,1740547087.067439,6.69
83,1740547087.173782,6.78
84,1740547087.273387,6.86
85,1740547087.380057,6.95
86,1740547087.480471,7.04
87,1740547087.578785,7.12
88,1740547087.682884,7.21
89,1740547087.785687,7.29
90,1740547087.891044,7.38
91,1740547087.990544,7.46
92,1740547088.089816,7.55
93,1740547088.198541,7.64
94,1740547088.296024,7.72
95,1740547088.400576,7.81
96,1740547088.502458,7.89
97,1740547088.610648,7.98
98,1740547088.713072,8.06
99,1740547088.812032,8.15
100,1740547088.916605,8.24
101,1740547089.019812,8.32
102,1740547089.120880,8.41
103,1740547089.223330,8.49
104,1740547089.324751,8.58
105,1740547089.436091,8.67
106,1740547089.550052,8.75
107,1740547089.655622,8.84
108,1740547089.756187,8.92
109,1740547089.876171,9.01
110,1740547089.973555,9.09
111,1740547090.075046,9.18
112,1740547090.184073,9.27
113,1740547090.285330,9.35
114,1740547090.392044,9.44
115,1740547090.495524,9.52
116,1740547090.606233,9.61
117,1740547090.716205,9.69
118,1740547090.816770,9.78
119,1740547090.921930,9.87
120,1740547091.020649,9.95
121,1740547091.126005,10.04
122,1740547091.227793,10.12
123,1740547091.328997,10.21
124,1740547091.434519,10.29
125,1740547091.537804,10.38
126,1740547091.649200,10.47
127,1740547091.753108,10.55
128,1740547091.850460,10.64
129,1740547091.959323,10.72
130,1740547092.058897,10.81
131,1740547092.165250,10.90
132,1740547092.262845,10.98
133,1740547092.374610,11.07
134,1740547092.470669,11.15
135,1740547092.571323,11.24
