frame,timestamp,curvilinear_abscissa
6,1740549698.528646,0.10
7,1740549698.710502,0.21
8,1740549699.063387,0.31
9,1740549699.160311,0.42
10,1740549699.262010,0.52
11,1740549699.360774,0.62
12,1740549699.463154,0.73
13,1740549699.569148,0.83
14,1740549699.673110,0.94
15,1740549699.776522,1.04
16,1740549699.888277,1.14
17,1740549699.991272,1.25
18,1740549700.103162,1.35
19,1740549700.203260,1.45
20,1740549700.312374,1.56
21,1740549700.414755,1.66
22,1740549700.516197,1.77
23,1740549700.621156,1.87
24,1740549700.720878,1.97
25,1740549700.828653,2.08
26,1740549700.928585,2.18
27,1740549701.029734,2.29
28,1740549701.139910,2.39
29,1740549701.237907,2.49
30,1740549701.344841,2.60
31,1740549701.440713,2.70
32,1740549701.550480,2.81
33,1740549701.651202,2.91
34,1740549701.748781,3.01
35,1740549701.850230,3.12
36,1740549701.947668,3.22
37,1740549702.055638,3.32
38,1740549702.155402,3.43
39,1740549702.253667,3.53
40,1740549702.356110,3.64
41,1740549702.454910,3.74
42,1740549702.564799,3.84
43,1740549702.661953,3.95
44,1740549702.757706,4.05
45,1740549702.862521,4.16
46,1740549702.959460,4.26
47,1740549703.064693,4.36
48,1740549703.163386,4.47
49,1740549703.260507,4.57
50,1740549703.364311,4.68
51,1740549703.459901,4.78
52,1740549703.569749,4.88
53,1740549703.668347,4.99
54,1740549703.765830,5.09
55,1740549703.866673,5.19
56,1740549703.963062,5.30
57,1740549704.072754,5.40
58,1740549704.166968,5.51
59,1740549704.264747,5.61
60,1740549704.380738,5.71
61,1740549704.481749,5.82
62,1740549704.581749,5.92
63,1740549704.679539,6.03
64,1740549704.776805,6.13
65,1740549704.883393,6.23
66,1740549704.980781,6.34
67,1740549705.082487,6.44
68,1740549705.180904,6.54
69,1740549705.279191,6.65
70,1740549705.384132,6.75
71,1740549705.481439,6.86
72,1740549705.585536,6.96
73,1740549705.687358,7.06
74,1740549705.785183,7.17
75,1740549705.889131,7.27
76,1740549705.989266,7.38
77,1740549706.100882,7.48
78,1740549706.199842,7.58
79,1740549706.297416,7.69
80,1740549706.400383,7.79
81,1740549706.498361,7.90
82,1740549706.605936,8.00
83,1740549706.706036,8.10
84,1740549706.810627,8.21
85,1740549706.913449,8.31
86,1740549707.015245,8.42
87,1740549707.116496,8.52
88,1740549707.214614,8.62
89,1740549707.326775,8.73
90,1740549707.427725,8.83
91,1740549707.526495,8.94
92,1740549707.643661,9.04
93,1740549707.744776,9.14
94,1740549707.848812,9.25
95,1740549707.949975,9.35
96,1740549708.048954,9.45
97,1740549708.151561,9.56
98,1740549708.251233,9.66
99,1740549708.365609,9.77
100,1740549708.463021,9.87
101,1740549708.563645,9.97
102,1740549708.673213,10.08
103,1740549708.774786,10.18
104,1740549708.889244,10.29
105,1740549708.990737,10.39
106,1740549709.098912,10.49
107,1740549709.200626,10.60
108,1740549709.305100,10.70
109,1740549709.417534,10.81
