frame,timestamp,curvilinear_abscissa
2,1740548123.369941,0.08
3,1740548123.600834,0.15
4,1740548123.767802,0.22
5,1740548123.967808,0.30
6,1740548124.168156,0.37
7,1740548124.367837,0.44
8,1740548124.492200,0.51
9,1740548124.600967,0.58
10,1740548124.712500,0.66
11,1740548124.822809,0.73
12,1740548124.953260,0.80
13,1740548125.061246,0.87
14,1740548125.179352,0.95
15,1740548125.289541,1.02
16,1740548125.415850,1.09
17,1740548125.524364,1.16
18,1740548125.638710,1.23
19,1740548125.750586,1.31
20,1740548125.857788,1.38
21,1740548125.976015,1.45
22,1740548126.083580,1.52
23,1740548126.202245,1.60
24,1740548126.302605,1.67
25,1740548126.418423,1.74
26,1740548126.523335,1.81
27,1740548126.636805,1.88
28,1740548126.746065,1.96
29,1740548126.852478,2.03
30,1740548126.966245,2.10
31,1740548127.072243,2.17
32,1740548127.188076,2.25
33,1740548127.298715,2.32
34,1740548127.419831,2.39
35,1740548127.524199,2.46
36,1740548127.638293,2.54
37,1740548127.738134,2.61
38,1740548127.837375,2.68
39,1740548127.943958,2.75
40,1740548128.043946,2.83
41,1740548128.155850,2.90
42,1740548128.260129,2.97
43,1740548128.360034,3.04
44,1740548128.468807,3.11
45,1740548128.570396,3.19
46,1740548128.671881,3.26
47,1740548128.769964,3.33
48,1740548128.885708,3.40
49,1740548128.987390,3.48
50,1740548129.087638,3.55
51,1740548129.194873,3.62
52,1740548129.295569,3.69
53,1740548129.405489,3.76
54,1740548129.505319,3.84
55,1740548129.603457,3.91
56,1740548129.705925,3.98
57,1740548129.806282,4.05
58,1740548129.916671,4.13
59,1740548130.019258,4.20
60,1740548130.137242,4.27
61,1740548130.238321,4.34
62,1740548130.340650,4.42
63,1740548130.446483,4.49
64,1740548130.547619,4.56
65,1740548130.654367,4.63
66,1740548130.757010,4.70
67,1740548130.860462,4.78
68,1740548130.970002,4.85
69,1740548131.072482,4.92
70,1740548131.182337,4.99
71,1740548131.285251,5.07
72,1740548131.391613,5.14
73,1740548131.497764,5.21
74,1740548131.600954,5.28
75,1740548131.706591,5.35
76,1740548131.809406,5.43
77,1740548131.921936,5.50
78,1740548132.023068,5.57
79,1740548132.139478,5.64
80,1740548132.237021,5.72
81,1740548132.340472,5.79
82,1740548132.449287,5.86
83,1740548132.549325,5.93
84,1740548132.656811,6.00
85,1740548132.759862,6.08
86,1740548132.863276,6.15
87,1740548132.977784,6.22
88,1740548133.081616,6.29
89,1740548133.200546,6.37
90,1740548133.301357,6.44
91,1740548133.407281,6.51
92,1740548133.510489,6.58
93,1740548133.610924,6.66
94,1740548133.721013,6.73
95,1740548133.819009,6.80
96,1740548133.926073,6.87
97,1740548134.028574,6.94
98,1740548134.141720,7.02
99,1740548134.240001,7.09
100,1740548134.343888,7.16
101,1740548134.461985,7.23
102,1740548134.564868,7.31
103,1740548134.672967,7.38
104,1740548134.774825,7.45
105,1740548134.876841,7.52
106,1740548134.985596,7.60
107,1740548135.089036,7.67
108,1740548135.193120,7.74
109,1740548135.296097,7.81
110,1740548135.405683,7.88
111,1740548135.508684,7.96
112,1740548135.610395,8.03
113,1740548135.717580,8.10
114,1740548135.822147,8.17
115,1740548135.931577,8.25
116,1740548136.035793,8.32
117,1740548136.140282,8.39
118,1740548136.252615,8.46
119,1740548136.356613,8.54
120,1740548136.465374,8.61
121,1740548136.571447,8.68
122,1740548136.684530,8.75
123,1740548136.787151,8.82
124,1740548136.906937,8.90
125,1740548137.009178,8.97
126,1740548137.114542,9.04
127,1740548137.223638,9.11
128,1740548137.328346,9.19
129,1740548137.438851,9.26
130,1740548137.543700,9.33
131,1740548137.654196,9.40
132,1740548137.759895,9.47
133,1740548137.866459,9.55
134,1740548137.975226,9.62
135,1740548138.080147,9.69
136,1740548138.191715,9.76
137,1740548138.298192,9.84
138,1740548138.411783,9.91
139,1740548138.522462,9.98
140,1740548138.624930,10.05
141,1740548138.737712,10.13
142,1740548138.839892,10.20
143,1740548138.950413,10.27
144,1740548139.053494,10.34
145,1740548139.160967,10.41
146,1740548139.268755,10.49
147,1740548139.371309,10.56
148,1740548139.479039,10.63
149,1740548139.585129,10.70
150,1740548139.694165,10.78
151,1740548139.798981,10.85
152,1740548139.907966,10.92
153,1740548140.013614,10.99
154,1740548140.119893,11.07
155,1740548140.226370,11.14
156,1740548140.331386,11.21
157,1740548140.447216,11.28
158,1740548140.554445,11.35
159,1740548140.685568,11.43
160,1740548140.789939,11.50
161,1740548140.910589,11.57
162,1740548141.012404,11.64
163,1740548141.119383,11.72
164,1740548141.227920,11.79
165,1740548141.333179,11.86
166,1740548141.444320,11.93
167,1740548141.550253,12.00
168,1740548141.659685,12.08
169,1740548141.767670,12.15
170,1740548141.872120,12.22
171,1740548141.982247,12.29
172,1740548142.091942,12.37
173,1740548142.207111,12.44
174,1740548142.311436,12.51
175,1740548142.425131,12.58
176,1740548142.538142,12.65
177,1740548142.663790,12.73
178,1740548142.769889,12.80
179,1740548142.875152,12.87
180,1740548142.990354,12.94
181,1740548143.095129,13.02
182,1740548143.222753,13.09
183,1740548143.324592,13.16
184,1740548143.439028,13.23
185,1740548143.543820,13.31
186,1740548143.663519,13.38
187,1740548143.764904,13.45
188,1740548143.871416,13.52
189,1740548143.979631,13.59
190,1740548144.085873,13.67
191,1740548144.194210,13.74
192,1740548144.301134,13.81
193,1740548144.411222,13.88
194,1740548144.524790,13.96
195,1740548144.627746,14.03
196,1740548144.740773,14.10
197,1740548144.842194,14.17
198,1740548144.954263,14.24
199,1740548145.058416,14.32
200,1740548145.170726,14.39
201,1740548145.277337,14.46
202,1740548145.386619,14.54
203,1740548145.508470,14.61
204,1740548145.612559,14.68
205,1740548145.726044,14.75
206,1740548145.832302,14.82
207,1740548145.947360,14.90
208,1740548146.054935,14.97
209,1740548146.166626,15.04
210,1740548146.277886,15.11
211,1740548146.387491,15.19
212,1740548146.509603,15.26
213,1740548146.617220,15.33
214,1740548146.732357,15.40
215,1740548146.841451,15.48
216,1740548146.957563,15.55
217,1740548147.063306,15.62
218,1740548147.178078,15.69
219,1740548147.289000,15.76
220,1740548147.416166,15.84
221,1740548147.525186,15.91
222,1740548147.629851,15.98
223,1740548147.745089,16.05
224,1740548147.854822,16.13
225,1740548147.974618,16.20
226,1740548148.088260,16.27
227,1740548148.200301,16.34
228,1740548148.309916,16.42
229,1740548148.424196,16.49
230,1740548148.530082,16.56
231,1740548148.641320,16.63
232,1740548148.758983,16.70
233,1740548148.864821,16.78
234,1740548148.987339,16.85
235,1740548149.091830,16.92
236,1740548149.211049,16.99
237,1740548149.314475,17.07
238,1740548149.426378,17.14
239,1740548149.534521,17.21
240,1740548149.642015,17.28
241,1740548149.750810,17.35
242,1740548149.858582,17.43
243,1740548149.970123,17.50
244,1740548150.074230,17.57
245,1740548150.185827,17.64
246,1740548150.294778,17.72
247,1740548150.402144,17.79
248,1740548150.522177,17.86
249,1740548150.627375,17.93
250,1740548150.743309,18.01
251,1740548150.846718,18.08
252,1740548150.958301,18.15
253,1740548151.064274,18.22
254,1740548151.176161,18.29
255,1740548151.282163,18.37
256,1740548151.389150,18.44
257,1740548151.498243,18.51
258,1740548151.609073,18.58
259,1740548151.717193,18.66
260,1740548151.823800,18.73
261,1740548151.932287,18.80
262,1740548152.039907,18.87
263,1740548152.144036,18.95
264,1740548152.252019,19.02
265,1740548152.358152,19.09
266,1740548152.468689,19.16
267,1740548152.574204,19.23
268,1740548152.685294,19.31
269,1740548152.791518,19.38
270,1740548152.895166,19.45
271,1740548153.004584,19.52
272,1740548153.107955,19.60
273,1740548153.219210,19.67
274,1740548153.325379,19.74
