,X,Y,Z,Roll,Pitch,Yaw
0,0,0,0,-0,0,-0
1,-0.122368,-0.384354,-0.389851,-0.191372,0.103683,-0.672743
2,-0.842954,-1.30303,0.184226,-0.310581,0.857196,-5.91062
3,0.0556952,-0.931718,-0.520147,-0.374914,0.802188,-8.65303
4,-0.0253863,-1.07717,0.0705221,-0.156163,0.74081,-6.39627
5,-0.539547,-1.74115,0.831147,-0.201082,1.41487,-10.4683
6,-0.566436,-1.49703,1.00813,-0.024174,1.33581,-8.53908
7,-1.02643,-1.66979,1.15847,0.025385,1.25512,-6.20814
8,-0.826469,-1.87162,0.947219,0.0781911,0.979217,-3.53385
9,-0.918648,-1.63001,0.758684,0.124719,0.891558,-1.77348
10,-0.496739,-0.834656,-0.258727,0.194585,0.527614,2.60546
11,-0.89911,-0.978406,-0.183087,0.199139,0.787481,3.74979
12,-1.16547,-0.545835,-0.0845501,0.110989,1.44662,-0.834669
13,-0.0821804,-0.00289668,-0.212483,0.333558,1.12981,0.868884
14,0.022121,-0.0205725,0.11099,0.524364,0.901396,4.2413
15,0.187472,0.199602,0.565214,0.762638,0.829478,6.81843
16,0.263753,-0.136099,0.723897,0.79969,0.942993,7.7109
17,1.0006,0.576707,0.766115,0.96825,0.420659,11.9801
18,0.189785,-0.322539,1.22417,0.915326,0.815341,13.1763
19,-0.141683,-0.333628,2.39811,0.893144,1.64771,11.4368
20,-0.673357,-0.40156,3.69693,1.22365,1.87677,13.5218
21,-0.420573,-0.294474,4.76344,1.49196,2.08561,12.9295
22,-0.304112,-0.723971,5.97047,1.6104,2.75379,9.90358
23,0.395128,-0.583609,6.17893,1.74584,2.70966,9.98732
24,0.480774,-1.14082,6.91503,1.72191,3.31021,7.58082
25,-0.274055,-1.6853,8.24453,1.58742,4.38371,3.08683
26,-0.577459,-1.67428,8.49763,1.39584,4.93628,0.731485
27,-0.771908,-2.18214,8.62088,0.922844,5.46193,-2.77499
28,-0.562716,-2.38683,8.68477,1.23729,5.06254,0.796613
29,0.226942,-2.20696,8.43626,0.703893,5.37304,-3.59201
30,0.412977,-1.93061,8.78518,0.899457,5.32966,-2.26982
31,0.558307,-2.26783,8.96336,0.532121,5.62343,-3.20103
32,0.865124,-1.98232,9.24406,0.451918,5.66079,-3.03836
33,1.38173,-1.76886,9.78998,0.326799,5.62944,-2.01153
34,1.41606,-1.9742,10.6052,0.308298,5.60259,0.172906
35,1.58412,-2.17719,10.9154,0.588027,5.33241,3.61793
36,1.61766,-2.04403,10.9263,0.234916,5.62022,1.75326
37,1.63944,-1.85785,11.3731,0.536025,5.49752,4.91938
38,2.12891,-1.39115,12.8609,0.621088,5.57952,5.46484
39,2.88997,-1.07221,13.4239,0.633806,5.39095,5.05501
40,3.82602,-1.45045,14.2949,0.281932,5.29443,3.02252
41,2.93533,-2.60923,15.2675,-0.275864,5.90793,-0.450071
42,3.12268,-2.11091,16.723,-0.258033,5.72866,-2.25357
43,3.1575,-2.93262,16.726,-0.403814,5.30493,-0.661014
44,2.14178,-3.2527,18.054,-0.196228,5.13422,2.00742
45,1.90988,-3.5688,19.1277,-0.187905,4.87408,3.34752
46,2.17389,-3.60637,19.5687,-0.463046,4.92848,1.54798
47,2.24636,-3.57586,20.2981,-0.313538,4.75385,2.77096
48,3.14373,-3.31017,22.8934,-0.448377,4.9841,-2.10236
49,3.84869,-3.37317,24.1796,-0.332144,4.88341,-1.92967
50,4.45346,-3.65315,25.5044,-0.0652848,4.81448,-0.531304
51,5.01547,-3.94738,27.0603,-0.409445,5.42377,-5.62591
52,5.85736,-3.8226,27.3267,-0.681216,5.55878,-8.82945
53,6.17786,-4.18226,28.0894,-0.58621,5.63724,-8.96892
54,6.18577,-4.02385,27.7763,-0.369762,5.49802,-7.74039
55,5.66655,-3.94108,27.9247,-0.309893,5.6712,-7.99548
56,5.5066,-3.91755,27.7952,-0.199052,5.68818,-7.92775
57,6.11189,-3.80117,28.2438,0.486896,5.18127,-4.88261
58,6.53242,-3.39867,28.4498,0.654053,5.11242,-5.85044
59,6.4586,-3.35548,28.0996,0.692736,4.93887,-4.78162
60,6.23586,-3.96056,28.2074,0.617796,4.95057,-4.16283
61,5.97644,-3.97869,28.3625,0.439182,5.12431,-4.74955
62,5.89237,-4.16601,28.8525,0.422015,5.12356,-3.92257
