61,211.22,-28.3243,-474.144,-0.193061,-0.0700641,-0.955085,0.213617
121,210.659,-28.4063,-474.55,-0.193417,-0.0746296,-0.95945,0.19099
183,210.146,-28.3132,-474.757,-0.194505,-0.0750759,-0.960367,0.185004
245,209.601,-27.3773,-474.036,-0.191257,-0.0820769,-0.968014,0.140122
310,209.592,-28.4388,-474.597,-0.190506,-0.0892167,-0.970545,0.11743
371,209.726,-28.2239,-474.038,-0.190089,-0.0846426,-0.968533,0.136551
435,209.485,-27.4856,-473.213,-0.186222,-0.0895145,-0.973155,0.101383
496,209.783,-27.4571,-473.168,-0.186172,-0.0857823,-0.971653,0.11778
558,209.71,-26.9576,-473.072,-0.187277,-0.0806196,-0.969319,0.137292
621,209.429,-27.1666,-473.124,-0.18892,-0.0760889,-0.96588,0.159989
683,209.565,-27.1466,-473.413,-0.189555,-0.0723711,-0.963488,0.174706
745,209.799,-27.0247,-474.039,-0.189355,-0.0709362,-0.96363,0.174727
810,209.813,-27.8636,-474.54,-0.191524,-0.0641037,-0.956306,0.211396
871,209.731,-27.4387,-474.508,-0.19133,-0.0590397,-0.954695,0.220147
934,210.171,-27.2183,-474.668,-0.18873,-0.0654849,-0.962942,0.181205
995,210.565,-28.3681,-474.754,-0.188383,-0.0640998,-0.960184,0.196087
1059,210.689,-28.4031,-474.439,-0.18856,-0.0574921,-0.954383,0.22426
1121,211.082,-28.5033,-474.096,-0.18753,-0.0517018,-0.949672,0.245527
1185,210.849,-28.5012,-473.797,-0.187273,-0.0484676,-0.948064,0.252495
1247,211.482,-29.3036,-473.888,-0.187725,-0.0415479,-0.938122,0.288027
1309,210.906,-28.3056,-473.298,-0.18784,-0.0350244,-0.935705,0.296556
1372,211.441,-27.9717,-472.888,-0.186547,-0.0321911,-0.936646,0.294716
1434,211.427,-27.7502,-472.345,-0.18639,-0.0328775,-0.940928,0.280773
1495,211.959,-26.9681,-471.306,-0.183844,-0.025824,-0.936636,0.297066
1561,212.519,-27.0171,-470.359,-0.181114,-0.0261147,-0.938714,0.292116
1620,212.665,-26.8343,-469.094,-0.17807,-0.0291866,-0.946765,0.2666
1686,212.86,-27.4909,-468.806,-0.177033,-0.0295374,-0.946697,0.267491
1747,212.684,-27.3542,-467.906,-0.175197,-0.0312886,-0.952577,0.246826
1810,212.81,-26.2857,-466.691,-0.171831,-0.0348021,-0.962276,0.208058
1871,212.942,-25.9425,-466.546,-0.170692,-0.0364457,-0.966621,0.187563
1933,212.548,-25.6615,-466.269,-0.17079,-0.0406964,-0.971794,0.157453
1996,212.386,-25.8247,-466.077,-0.17175,-0.0348842,-0.966473,0.187658
2060,212.681,-26.167,-466.319,-0.171416,-0.0405219,-0.971121,0.160928
2121,212.411,-26.6647,-466.184,-0.172194,-0.0430441,-0.972503,0.15078
2184,212.807,-26.8133,-465.952,-0.171703,-0.0403114,-0.970928,0.16184
2245,212.579,-26.8742,-465.619,-0.173236,-0.0395459,-0.972079,0.153258
2310,212.949,-27.1548,-465.422,-0.173921,-0.0385993,-0.97181,0.154428
2371,213.365,-27.5771,-464.913,-0.175826,-0.03576,-0.970216,0.16275
2435,213.541,-27.4219,-464.105,-0.177696,-0.0300501,-0.966913,0.180556
2495,213.491,-27.4967,-463.708,-0.178423,-0.0235458,-0.961151,0.209283
2560,213.614,-27.5449,-463.747,-0.179416,-0.0254816,-0.964266,0.193265
2621,213.978,-27.5026,-463.43,-0.179376,-0.0185683,-0.958837,0.219343
2685,214.446,-28.0887,-463.102,-0.179605,-0.0151781,-0.954168,0.238905
2746,215.039,-27.7462,-462.211,-0.178861,-0.0165956,-0.957985,0.223604
2809,215.549,-28.4166,-461.674,-0.178869,-0.0192635,-0.958593,0.220758
2872,215.565,-29.103,-460.531,-0.180646,-0.0247949,-0.961775,0.204305
2934,214.987,-27.8911,-459.4,-0.181291,-0.0278506,-0.967458,0.174309
3003,216.072,-27.8519,-458.294,-0.180174,-0.0341147,-0.969931,0.160024
3059,215.336,-27.7754,-457.935,-0.183662,-0.0329264,-0.966945,0.173784
3120,215.671,-26.4838,-456.878,-0.184269,-0.0277314,-0.962729,0.196031
3183,215.871,-26.0042,-455.86,-0.185677,-0.0262938,-0.960099,0.207468
3246,216.024,-26.1684,-455.396,-0.186627,-0.0299936,-0.962917,0.192514
3310,216.372,-26.0987,-454.754,-0.186604,-0.0285155,-0.96082,0.202954
3371,216.641,-26.1849,-453.264,-0.186364,-0.0305686,-0.961851,0.197933
3434,217.73,-26.4927,-452.385,-0.18376,-0.0391702,-0.968626,0.162671
3497,218.22,-26.9147,-451.067,-0.183192,-0.0398162,-0.968414,0.16441
